第15任總統副總統選舉候選人在基隆市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,智誠里,52,416,589,"1,057",16,"1,073",0,"1,073",419,"1,492",71.9169
,禮儀里,61,572,559,"1,192",11,"1,203",0,"1,203",373,"1,576",76.3325
,禮東里,59,553,494,"1,106",19,"1,125",0,"1,125",340,"1,465",76.7918
,信綠里,75,705,734,"1,514",9,"1,523",0,"1,523",504,"2,027",75.1357
,東信里,155,"1,548","1,391","3,094",30,"3,124",0,"3,124",934,"4,058",76.9837
,東光里,59,620,621,"1,300",11,"1,311",0,"1,311",425,"1,736",75.5184
,東明里,132,"1,299","1,130","2,561",20,"2,581",0,"2,581",846,"3,427",75.3137
,東安里,87,980,937,"2,004",21,"2,025",0,"2,025",687,"2,712",74.6681
,孝賢里,139,"1,263","1,161","2,563",28,"2,591",0,"2,591",752,"3,343",77.5052
,孝忠里,308,"2,364","2,580","5,252",42,"5,294",1,"5,295","1,758","7,053",75.0603
,孝德里,74,764,860,"1,698",16,"1,714",0,"1,714",711,"2,425",70.6804
,孝深里,148,"1,230","1,412","2,790",20,"2,810",0,"2,810","1,228","4,038",69.5889
,孝岡里,49,414,493,956,9,965,0,965,316,"1,281",75.3318
