第15任總統副總統選舉候選人在南投縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,同富村,38,422,445,905,17,922,0,922,447,"1,369",67.3484
,神木村,9,242,141,392,4,396,0,396,234,630,62.8571
,東埔村,28,406,223,657,17,674,0,674,311,985,68.4264
,人和村,24,484,204,712,6,718,0,718,422,"1,140",62.9825
,地利村,20,424,152,596,4,600,0,600,264,864,69.4444
,雙龍村,13,278,86,377,4,381,0,381,210,591,64.4670
,潭南村,7,263,73,343,6,349,0,349,186,535,65.2336
　仁愛鄉,,280,"6,247","1,685","8,212",64,"8,276",0,"8,276","3,888","12,164",68.0368
,南豐村,43,594,225,862,3,865,0,865,351,"1,216",71.1349
,大同村,33,816,316,"1,165",7,"1,172",0,"1,172",444,"1,616",72.5248
,榮興村,2,28,3,33,0,33,0,33,24,57,57.8947
,春陽村,16,496,149,661,3,664,0,664,265,929,71.4747
,精英村,19,337,102,458,7,465,0,465,198,663,70.1357
,都達村,6,329,58,393,4,397,0,397,211,608,65.2961
,合作村,19,279,81,379,2,381,0,381,199,580,65.6897
,發祥村,18,347,88,453,0,453,0,453,276,729,62.1399
,力行村,8,245,47,300,0,300,0,300,189,489,61.3497
,翠華村,7,182,61,250,6,256,0,256,235,491,52.1385
,親愛村,17,595,109,721,5,726,0,726,363,"1,089",66.6667
,萬豐村,16,291,78,385,3,388,0,388,217,605,64.1322
,法治村,19,355,106,480,6,486,0,486,266,752,64.6277
,中正村,17,458,99,574,7,581,0,581,280,861,67.4797
,互助村,26,651,125,802,10,812,0,812,280,"1,092",74.3590
,新生村,14,244,38,296,1,297,0,297,90,387,76.7442
