第15任總統副總統選舉候選人在新北市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,豐漁里,8,116,208,332,1,333,0,333,159,492,67.6829
,磺港里,33,362,777,"1,172",10,"1,182",0,"1,182",530,"1,712",69.0421
,金美里,114,"1,243","2,015","3,372",23,"3,395",0,"3,395","1,461","4,856",69.9135
,五湖里,53,467,691,"1,211",19,"1,230",0,"1,230",415,"1,645",74.7720
,美田里,106,954,"1,518","2,578",19,"2,597",0,"2,597","1,052","3,649",71.1702
,重和里,32,284,473,789,12,801,0,801,377,"1,178",67.9966
,兩湖里,15,95,173,283,2,285,0,285,92,377,75.5968
,六股里,7,162,303,472,5,477,0,477,162,639,74.6479
,三界里,20,139,278,437,6,443,0,443,181,624,70.9936
,萬壽里,12,93,192,297,5,302,0,302,134,436,69.2661
,清泉里,16,215,314,545,13,558,0,558,243,801,69.6629
,西湖里,2,58,86,146,1,147,0,147,37,184,79.8913
,永興里,14,145,216,375,1,376,0,376,192,568,66.1972
　萬里區,,462,"5,206","7,213","12,881",129,"13,010",0,"13,010","5,746","18,756",69.3645
,萬里里,106,"1,156","1,681","2,943",30,"2,973",0,"2,973","1,194","4,167",71.3463
,北基里,76,814,844,"1,734",16,"1,750",0,"1,750",980,"2,730",64.1026
,龜吼里,52,686,919,"1,657",19,"1,676",0,"1,676",807,"2,483",67.4990
,野柳里,58,840,"1,251","2,149",21,"2,170",0,"2,170",957,"3,127",69.3956
,大鵬里,68,791,"1,020","1,879",21,"1,900",0,"1,900",717,"2,617",72.6022
,磺潭里,17,173,206,396,2,398,0,398,176,574,69.3380
,雙興里,29,238,421,688,8,696,0,696,254,950,73.2632
,溪底里,13,143,288,444,4,448,0,448,203,651,68.8172
,崁?里,17,91,167,275,2,277,0,277,123,400,69.2500
,中幅里,26,274,416,716,6,722,0,722,335,"1,057",68.3065
　烏來區,,173,"1,894","1,623","3,690",37,"3,727",0,"3,727","1,426","5,153",72.3268
,忠治里,62,604,487,"1,153",5,"1,158",0,"1,158",364,"1,522",76.0841
,烏來里,85,817,742,"1,644",14,"1,658",0,"1,658",654,"2,312",71.7128
,孝義里,3,63,112,178,4,182,0,182,51,233,78.1116
,信賢里,11,158,172,341,6,347,0,347,136,483,71.8427
,福山里,12,252,110,374,8,382,0,382,221,603,63.3499
