第15任總統副總統選舉候選人在花蓮縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,水源村,23,607,175,805,10,815,0,815,296,"1,111",73.3573
,銅門村,25,637,156,818,9,827,0,827,343,"1,170",70.6838
,文蘭村,18,569,180,767,10,777,0,777,270,"1,047",74.2120
　萬榮鄉,,93,"2,410",706,"3,209",31,"3,240",1,"3,241","1,791","5,032",64.3879
,西林村,18,534,152,704,4,708,0,708,333,"1,041",68.0115
,見晴村,8,242,73,323,8,331,0,331,187,518,63.8996
,萬榮村,11,392,105,508,3,511,0,511,232,743,68.7752
,明利村,10,300,90,400,1,401,0,401,231,632,63.4494
,馬遠村,24,455,154,633,6,639,0,639,424,"1,063",60.1129
,紅葉村,22,487,132,641,9,650,1,651,384,"1,035",62.8019
　卓溪鄉,,76,"2,291",531,"2,898",33,"2,931",0,"2,931","1,837","4,768",61.4723
,崙山村,8,239,59,306,5,311,0,311,205,516,60.2713
,立山村,16,443,123,582,7,589,0,589,379,968,60.8471
,太平村,14,342,73,429,7,436,0,436,226,662,65.8610
,卓溪村,9,351,95,455,5,460,0,460,266,726,63.3609
,卓清村,13,472,90,575,3,578,0,578,424,"1,002",57.6846
,古風村,16,444,91,551,6,557,0,557,337,894,62.3043
