第15任總統副總統選舉候選人在臺北市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,紫雲里,200,"1,874","1,728","3,802",40,"3,842",0,"3,842","1,049","4,891",78.5524
,清白里,279,"2,533","2,827","5,639",85,"5,724",1,"5,725","1,557","7,282",78.6048
,葫洲里,247,"1,993","2,326","4,566",50,"4,616",0,"4,616","1,249","5,865",78.7042
,紫陽里,242,"2,238","2,934","5,414",76,"5,490",0,"5,490","1,493","6,983",78.6195
,瑞陽里,237,"2,698","2,322","5,257",61,"5,318",0,"5,318","1,347","6,665",79.7899
,瑞光里,144,"1,570","1,405","3,119",37,"3,156",0,"3,156",854,"4,010",78.7032
,五分里,310,"2,462","3,763","6,535",89,"6,624",0,"6,624","2,025","8,649",76.5869
,東湖里,221,"1,831","2,839","4,891",65,"4,956",0,"4,956","1,345","6,301",78.6542
,樂康里,282,"2,096","2,954","5,332",85,"5,417",1,"5,418","1,660","7,078",76.5329
,內溝里,159,"1,258","1,685","3,102",28,"3,130",1,"3,131",917,"4,048",77.3221
,週美里,266,"2,054","3,167","5,487",76,"5,563",0,"5,563","1,640","7,203",77.2317
,行善里,227,"1,813","2,553","4,593",58,"4,651",0,"4,651","1,292","5,943",78.2601
,石潭里,135,"1,077","1,345","2,557",38,"2,595",0,"2,595",817,"3,412",76.0551
,湖興里,208,"1,988","2,649","4,845",61,"4,906",0,"4,906","2,551","7,457",65.7905
,湖元里,148,"1,447","1,942","3,537",34,"3,571",0,"3,571","1,040","4,611",77.4452
,安湖里,271,"1,933","2,816","5,020",58,"5,078",0,"5,078","1,354","6,432",78.9490
,秀湖里,195,"1,905","2,013","4,113",63,"4,176",1,"4,177","1,220","5,397",77.3763
,安泰里,185,"1,443","1,860","3,488",49,"3,537",1,"3,538","1,088","4,626",76.4591
,金湖里,298,"2,691","3,044","6,033",89,"6,122",1,"6,123","1,727","7,850",77.9873
,康寧里,259,"2,430","2,915","5,604",79,"5,683",2,"5,685","1,605","7,290",77.9561
,明湖里,185,"1,352","1,976","3,513",55,"3,568",0,"3,568",904,"4,472",79.7853
,蘆洲里,36,263,498,797,8,805,1,806,313,"1,119",71.9392
,麗山里,164,"1,392","2,279","3,835",51,"3,886",0,"3,886","1,108","4,994",77.8134
,寶湖里,277,"2,639","2,834","5,750",96,"5,846",0,"5,846","1,685","7,531",77.6258
